dormitorios,banos,distrito,precio,area,latitud,longitud,fecha_publicacion,antiguedad,direccion,precision,type,precioxm2,dorm_ban
1.0,1.0,barranco,3400.0,68.0,-12.1386795,-77.0250591,137,0.0,"Av. el Sol Oeste 385, Barranco 15063, Peru",ROOFTOP,establishment,50.0,"1.0,1.0"
3.0,2.0,barranco,7600.0,169.0,-12.141231,-77.0256,365,16.0,"Malecon Jorge Souza Miranda 254, Barranco 15063, Peru",ROOFTOP,street_address,44.97041420118343,"3.0,2.0"
2.0,2.0,barranco,3400.0,80.0,-12.1470544,-77.02304320000002,109,8.0,"C. Coronel Alfonso Ugarte 260, Lima 15063, Peru",ROOFTOP,street_address,42.5,"2.0,2.0"
2.0,2.0,barranco,2300.0,55.0,-12.1390229,-77.0178715,16,1.0,"Av. República de Panamá 395, La Victoria 15063, Peru",ROOFTOP,street_address,41.81818181818182,"2.0,2.0"
1.0,2.0,barranco,2800.0,76.0,-12.133737597667016,-77.0195885343933,5,8.0,"Felipe Sassone 181, Barranco 15047, Peru",ROOFTOP,establishment,36.8421052631579,"1.0,2.0"
2.0,2.0,barranco,3200.0,65.0,-12.14040793338147,-77.02260822432861,9,3.0,"Jirón Pedro Martinto 114, Barranco 15063, Peru",ROOFTOP,establishment,49.23076923076923,"2.0,2.0"
1.0,2.0,barranco,2925.0,78.0,-12.142422116607014,-77.02520296343766,15,8.0,"312, Lima 15063, Peru",ROOFTOP,premise,37.5,"1.0,2.0"
1.0,1.0,barranco,2250.0,38.0,-12.1367915,-77.022516,0,3.0,"Av. Almte. Miguel Grau 1503, Barranco 15063, Peru",ROOFTOP,cafe,59.21052631578947,"1.0,1.0"
1.0,1.0,barranco,1900.0,65.0,-12.13616124127494,-77.02230263780848,0,5.0,"Jirón Juan Fanning 107, Barranco 15063, Peru",ROOFTOP,street_address,29.23076923076923,"1.0,1.0"
1.0,1.0,barranco,2850.0,70.0,-12.142422116607014,-77.02520296343766,15,6.0,"312, Lima 15063, Peru",ROOFTOP,premise,40.714285714285715,"1.0,1.0"
2.0,3.0,barranco,2800.0,87.0,-12.1204501,-77.0146784,3,16.0,"Roca y Boloña, Miraflores, Lima, Perú.",GEOMETRIC_CENTER,route,32.18390804597701,"2.0,3.0"
1.0,1.0,barranco,2070.0,43.0,-12.1396645,-77.0230045,22,2.0,"Av. el Sol 161, Barranco 15063, Peru",ROOFTOP,establishment,48.13953488372093,"1.0,1.0"
